type_name,actual_gid
Platform::Objects::PushAllowance,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/branch_protection_rule/{branch_protection_rule_id}/push_allowance/{push_allowance_id}
Platform::Objects::ReleaseAsset,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/release_asset/{release_asset_id}
Platform::Objects::MarketplaceCategory,/marketplace_category/{marketplace_category_id}
Platform::Objects::PackageFile,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/package_file/{package_file_id}
Platform::Objects::Discussion,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion/{discussion_id}
Platform::Objects::DiscussionComment,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_comment/{discussion_comment_id}
Platform::Objects::DiscussionCategory,/{repository_owner_type}/{repository_owner_id}/repository/{repository_id}/discussion_category/{discussion_category_id}
Platform::Objects::Gist,/user/{user_id}/gist/{gist_id}
Platform::Objects::GistComment,/user/{user_id}/gist/{gist_id}/gist_comment/{gist_comment_id}
Platform::Objects::Language,/language/{language_id}
Platform::Objects::AuditLog::MembersCanDeleteReposClearAuditEntry,
Platform::Objects::AuditLog::MembersCanDeleteReposDisableAuditEntry,
Platform::Objects::AuditLog::MembersCanDeleteReposEnableAuditEntry,
Platform::Objects::AuditLog::OauthApplicationCreateAuditEntry,
Platform::Objects::AuditLog::OrgAddBillingManagerAuditEntry,
Platform::Objects::AuditLog::OrgAddMemberAuditEntry,
Platform::Objects::AuditLog::OrgBlockUserAuditEntry,
Platform::Objects::AuditLog::OrgConfigDisableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::OrgConfigEnableCollaboratorsOnlyAuditEntry,
Platform::Objects::AuditLog::OrgCreateAuditEntry,
Platform::Objects::AuditLog::OrgDisableOauthAppRestrictionsAuditEntry,
Platform::Objects::AuditLog::OrgDisableSamlAuditEntry,
Platform::Objects::AuditLog::OrgDisableTwoFactorRequirementAuditEntry,
Platform::Objects::AuditLog::OrgEnableOauthAppRestrictionsAuditEntry,
Platform::Objects::AuditLog::OrgEnableSamlAuditEntry,
Platform::Objects::AuditLog::OrgEnableTwoFactorRequirementAuditEntry,
Platform::Objects::AuditLog::OrgInviteMemberAuditEntry,
Platform::Objects::AuditLog::OrgInviteToBusinessAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessApprovedAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessDeniedAuditEntry,
Platform::Objects::AuditLog::OrgOauthAppAccessRequestedAuditEntry,
Platform::Objects::AuditLog::OrgRemoveBillingManagerAuditEntry,
Platform::Objects::AuditLog::OrgRemoveMemberAuditEntry,
Platform::Objects::AuditLog::OrgRemoveOutsideCollaboratorAuditEntry,
Platform::Objects::AuditLog::OrgRestoreMemberAuditEntry,
Platform::Objects::AuditLog::OrgUnblockUserAuditEntry,
Platform::Objects::AuditLog::OrgUpdateDefaultRepositoryPermissionAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberRepositoryCreationPermissionAuditEntry,
Platform::Objects::AuditLog::OrgUpdateMemberRepositoryInvitationPermissionAuditEntry,
Platform::Objects::AuditLog::PrivateRepositoryForkingDisableAuditEntry,
Platform::Objects::AuditLog::PrivateRepositoryForkingEnableAuditEntry,
Platform::Objects::AuditLog::RepoAccessAuditEntry,
Platform::Objects::AuditLog::RepoAddMemberAuditEntry,
Platform::Objects::AuditLog::RepoAddTopicAuditEntry,
Platform::Objects::AuditLog::RepoArchivedAuditEntry,
Platform::Objects::AuditLog::RepoChangeMergeSettingAuditEntry,
Platform::Objects::AuditLog::RepoConfigDisableAnonymousGitAccessAuditEntry,
